Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
48,0.2013304,0.323464,0.083468,0.0491536,0.286296,0.737333333,0.3743976,0.3488024,0.1527736,0.1862896,0.0131752,0.0890696,0.1404728,0.3292912,0.0822592,0.261488,0.3474496,0.269196,0.4074616,0.318876,0.119596,0.2555576,0.139385364,0.053328,0.4959896,0.3023384,0.420468,0.3135448,0.001357716,0.016469
49,0.1944416,0.3330864,0.0936432,0.0466704,0.2909816,0.7396,0.3838584,0.344788,0.147544,0.1889688,0.0143848,0.0802368,0.1417384,0.3174328,0.0721576,0.2944568,0.3543664,0.2878528,0.4085784,0.3323256,0.1231872,0.2534056,0.138369122,0.05792348,0.4979792,0.3059728,0.4263328,0.3111368,0.001793167,0.017981
50,0.1845072,0.332816,0.1026872,0.0457848,0.300368,0.742933333,0.3917792,0.3352288,0.1414752,0.1884168,0.0176552,0.0695912,0.1387648,0.2982344,0.062584,0.3247416,0.3529768,0.3237168,0.4074048,0.3369288,0.1302712,0.2456512,0.138997297,0.063072837,0.5021656,0.3037056,0.4266224,0.3047272,0.002090252,0.022069
51,0.173288,0.3234976,0.1095224,0.0432192,0.313248,0.745066667,0.4047928,0.3231616,0.1330616,0.184452,0.0229488,0.0568656,0.130968,0.2819552,0.053956,0.345336,0.3475,0.3658096,0.409092,0.3423672,0.1417456,0.2340352,0.1332847,0.05118685,0.4946648,0.295736,0.4288208,0.3065544,0.002425544,0.028686
52,0.1688504,0.307156,0.1121048,0.0402872,0.3307096,0.73,0.4311736,0.3097048,0.1224232,0.1789168,0.0306344,0.0444504,0.1251808,0.275124,0.0457608,0.3568224,0.3381448,0.4029896,0.4107264,0.3560904,0.1525728,0.224456,0.128568425,0.042423574,0.4833488,0.2866816,0.4373368,0.3128536,0.003275766,0.038293
53,0.1657864,0.294828,0.109812,0.0444144,0.3546792,0.701466667,0.453788,0.2982728,0.1151888,0.1672176,0.0394288,0.0404904,0.1111408,0.265068,0.0387136,0.3622736,0.330056,0.4232232,0.4094136,0.3608224,0.1453296,0.2157408,0.124994523,0.036628608,0.47382,0.2715312,0.437896,0.3091144,0.003764417,0.049286
54,0.174524,0.2879568,0.10752,0.0545536,0.3831608,0.6552,0.486444,0.2882896,0.1035376,0.1575008,0.0463432,0.0449128,0.1056144,0.2499032,0.0343344,0.3550144,0.3302544,0.4378072,0.412376,0.3630328,0.133152,0.210952,0.122683062,0.033320681,0.466428,0.2506344,0.4275776,0.2967072,0.005060689,0.057929
55,0.1982328,0.2826736,0.1114328,0.0665216,0.4128936,0.615733333,0.5176528,0.2789096,0.0854392,0.150576,0.0521432,0.0484104,0.1161128,0.2362872,0.0327304,0.3411928,0.3345352,0.4507912,0.427228,0.3631704,0.125544,0.2117368,0.121707727,0.03176561,0.4538184,0.2294872,0.4229064,0.2832264,0.006332855,0.065179
56,0.2323968,0.2793128,0.1163184,0.0779272,0.4469168,0.612533333,0.5466936,0.2719216,0.0685088,0.1464016,0.0581568,0.0470088,0.1354656,0.2231008,0.033964,0.326064,0.3377152,0.4663864,0.4500032,0.3608384,0.1219016,0.2188336,0.122080532,0.031234748,0.4436664,0.206848,0.4131368,0.2670696,0.008393214,0.072696
57,0.2710824,0.2827416,0.1115448,0.0884,0.4804648,0.6236,0.5575752,0.2675032,0.0531408,0.1452248,0.0603432,0.0410464,0.1568376,0.2141488,0.0393808,0.3105632,0.3391776,0.4781312,0.471664,0.3527496,0.1091936,0.2383664,0.096314715,0.04830587,0.430368,0.1864848,0.4047968,0.2584096,0.010391351,0.075429
58,0.2935448,0.2894672,0.111152,0.0956112,0.50414,0.635333333,0.5595712,0.2530952,0.0450336,0.1441304,0.0571536,0.029852,0.1659416,0.2164512,0.0433864,0.29876,0.3473104,0.4881856,0.4876456,0.33082,0.0976,0.2642016,0,0.087700733,0.4077248,0.1675552,0.3929648,0.2528544,0.012958438,0.071442
59,0.3123648,0.2859832,0.1256488,0.0883104,0.5211352,0.648933333,0.5669512,0.2253568,0.0512704,0.1369792,0.0603456,0.0179096,0.1730576,0.2314016,0.044228,0.2804784,0.3513448,0.5030872,0.5090664,0.290404,0.1030912,0.2834512,0,0.138646762,0.380064,0.1499904,0.3812392,0.2417808,0.017784671,0.075432
60,0.3466976,0.2728616,0.1403856,0.0778368,0.5331,0.647866667,0.5909896,0.228036,0.0586104,0.1277144,0.065864,0.0091216,0.19914,0.257032,0.0436296,0.2659536,0.3447504,0.5170688,0.533436,0.2771624,0.1137208,0.3038664,0,0.196125045,0.349208,0.1367696,0.3663816,0.2291616,0.027692421,0.08233
61,0.3881624,0.2569144,0.1437032,0.0701344,0.5371656,0.644133333,0.6138312,0.2224424,0.0628528,0.1200216,0.0696088,0.0063392,0.2335664,0.2873992,0.0446376,0.257436,0.3299424,0.526756,0.5577928,0.283636,0.1140904,0.3281328,0,0.257286811,0.3221104,0.1246608,0.3582368,0.2210904,0.04642015,0.087011
62,0.4117152,0.2441464,0.1273592,0.0659488,0.5408656,0.6364,0.6297008,0.2053792,0.0704616,0.1142504,0.071176,0.010364,0.2526648,0.3122048,0.048036,0.2500144,0.3173032,0.5293032,0.583952,0.2814024,0.1037912,0.3537992,0,0.320160662,0.305228,0.1075312,0.3342328,0.2093552,0.073364556,0.08897
