Technology,Subset,Value,,Unit,Source,Updated at,Updated by
Z_Import_Gas,ImportTechnology,1,,Binary,not relevant,21.05.2024,Konstantin Löffler
Z_Import_LNG,ImportTechnology,1,,Binary,not relevant,22.05.2024,Konstantin Löffler
Z_Import_H2,ImportTechnology,1,,Binary,not relevant,23.05.2024,Konstantin Löffler
D_Battery_Li-Ion,StorageDummies,1,,Binary,not relevant,24.05.2024,Konstantin Löffler
D_Battery_Redox,StorageDummies,1,,Binary,not relevant,25.05.2024,Konstantin Löffler
D_Gas_Methane,StorageDummies,1,,Binary,not relevant,26.05.2024,Konstantin Löffler
D_Gas_H2,StorageDummies,1,,Binary,not relevant,27.05.2024,Konstantin Löffler
D_Heat_HLI,StorageDummies,1,,Binary,not relevant,28.05.2024,Konstantin Löffler
D_Heat_HLR,StorageDummies,1,,Binary,not relevant,29.05.2024,Konstantin Löffler
D_PHS,StorageDummies,1,,Binary,not relevant,30.05.2024,Konstantin Löffler
D_PHS_Residual,StorageDummies,1,,Binary,not relevant,31.05.2024,Konstantin Löffler
D_CAES,StorageDummies,1,,Binary,not relevant,01.06.2024,Konstantin Löffler
X_Electrolysis,PhaseInSet,1,,Binary,not relevant,02.06.2024,Konstantin Löffler
X_Biofuel,PhaseInSet,1,,Binary,not relevant,03.06.2024,Konstantin Löffler
D_Battery_Li-Ion,PhaseInSet,1,,Binary,not relevant,04.06.2024,Konstantin Löffler
D_Battery_Redox,PhaseInSet,1,,Binary,not relevant,05.06.2024,Konstantin Löffler
D_Gas_Methane,PhaseInSet,1,,Binary,not relevant,06.06.2024,Konstantin Löffler
D_Gas_H2,PhaseInSet,1,,Binary,not relevant,07.06.2024,Konstantin Löffler
D_CAES,PhaseInSet,1,,Binary,not relevant,08.06.2024,Konstantin Löffler
D_Heat_HLR,PhaseInSet,1,,Binary,not relevant,09.06.2024,Konstantin Löffler
D_Heat_HLI,PhaseInSet,1,,Binary,not relevant,10.06.2024,Konstantin Löffler
D_PHS,PhaseInSet,1,,Binary,not relevant,11.06.2024,Konstantin Löffler
HLR_Biomass,PhaseInSet,1,,Binary,not relevant,12.06.2024,Konstantin Löffler
HLR_Direct_Electric,PhaseInSet,1,,Binary,not relevant,13.06.2024,Konstantin Löffler
