"ModalSplitByFuelAndModalType(r in REGION, f in FUEL, y in YEAR, md in MODALTYPE)", , , , , , , , , , , , , , , , , , , , 
Describes the distribution of technologies within a specific modal type., , , , , , , , , , , , , , , , , , , , 
Unit: Fraction, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , 
Region,Fuel,Year,MT_PSNG_ROAD,MT_PSNG_RAIL,MT_PSNG_AIR,MT_FRT_ROAD,MT_FRT_RAIL,MT_FRT_SHIP,MT_PSNG_ROAD_RE,MT_PSNG_RAIL_RE,MT_PSNG_AIR_RE,MT_FRT_ROAD_RE,MT_FRT_RAIL_RE,MT_FRT_SHIP_RE,MT_PSNG_ROAD_CONV,MT_PSNG_RAIL_CONV,MT_PSNG_AIR_CONV,MT_FRT_ROAD_CONV,MT_FRT_RAIL_CONV,MT_FRT_SHIP_CONV
DK,Mobility_Freight,2025,0,0,0,"0,85","0,11",0,0,0,0,0,"0,08",0,0,0,0,"0,63",0,0
DK,Mobility_Freight,2030,0,0,0,"0,81","0,11",0,0,0,0,0,"0,07",0,0,0,0,"0,4",0,0
DK,Mobility_Freight,2035,0,0,0,"0,79","0,1",0,0,0,0,0,"0,07",0,0,0,0,"0,03",0,0
DK,Mobility_Freight,2040,0,0,0,"0,76","0,1",0,0,0,0,0,"0,07",0,0,0,0,0,0,0
DK,Mobility_Freight,2045,0,0,0,"0,74","0,09",0,0,0,0,0,"0,06",0,0,0,0,0,0,0
DK,Mobility_Freight,2050,0,0,0,"0,7","0,09",0,0,0,0,0,"0,06",0,0,0,0,0,0,0
EE,Mobility_Freight,2018,0,0,0,"0,53","0,46",0,0,0,0,0,"0,32",0,0,0,0,"0,52","0,13",0
EE,Mobility_Freight,2020,0,0,0,"0,53","0,45",0,0,0,0,0,"0,32",0,0,0,0,"0,49","0,11",0
EE,Mobility_Freight,2025,0,0,0,"0,51","0,44",0,0,0,0,0,"0,31",0,0,0,0,"0,38",0,0
EE,Mobility_Freight,2030,0,0,0,"0,5","0,42",0,0,0,0,0,"0,3",0,0,0,0,"0,25",0,0
EE,Mobility_Freight,2035,0,0,0,"0,48","0,41",0,0,0,0,0,"0,29",0,0,0,0,"0,02",0,0
EE,Mobility_Freight,2040,0,0,0,"0,46","0,4",0,0,0,0,0,"0,28",0,0,0,0,0,0,0
EE,Mobility_Freight,2045,0,0,0,"0,45","0,38",0,0,0,0,0,"0,27",0,0,0,0,0,0,0
EE,Mobility_Freight,2050,0,0,0,"0,43","0,36",0,0,0,0,0,"0,25",0,0,0,0,0,0,0
ES,Mobility_Freight,2018,0,0,0,"0,95","0,04",0,0,0,0,0,"0,03",0,0,0,0,"0,92","0,01",0
ES,Mobility_Freight,2020,0,0,0,"0,94","0,04",0,0,0,0,0,"0,03",0,0,0,0,"0,87","0,01",0
ES,Mobility_Freight,2025,0,0,0,"0,91","0,04",0,0,0,0,0,"0,03",0,0,0,0,"0,68",0,0
ES,Mobility_Freight,2030,0,0,0,"0,88","0,04",0,0,0,0,0,"0,03",0,0,0,0,"0,44",0,0
ES,Mobility_Freight,2035,0,0,0,"0,86","0,04",0,0,0,0,0,"0,03",0,0,0,0,"0,04",0,0
ES,Mobility_Freight,2040,0,0,0,"0,82","0,04",0,0,0,0,0,"0,02",0,0,0,0,0,0,0
ES,Mobility_Freight,2045,0,0,0,"0,79","0,04",0,0,0,0,0,"0,02",0,0,0,0,0,0,0
ES,Mobility_Freight,2050,0,0,0,"0,76","0,03",0,0,0,0,0,"0,02",0,0,0,0,0,0,0
FI,Mobility_Freight,2018,0,0,0,"0,7","0,29",0,0,0,0,0,"0,2",0,0,0,0,"0,68","0,08",0
FI,Mobility_Freight,2020,0,0,0,"0,7","0,28",0,0,0,0,0,"0,2",0,0,0,0,"0,65","0,06",0
FI,Mobility_Freight,2025,0,0,0,"0,68","0,27",0,0,0,0,0,"0,19",0,0,0,0,"0,51",0,0
FI,Mobility_Freight,2030,0,0,0,"0,65","0,26",0,0,0,0,0,"0,18",0,0,0,0,"0,32",0,0
FI,Mobility_Freight,2035,0,0,0,"0,63","0,26",0,0,0,0,0,"0,18",0,0,0,0,"0,03",0,0
FI,Mobility_Freight,2040,0,0,0,"0,61","0,25",0,0,0,0,0,"0,17",0,0,0,0,0,0,0
