"TradeCosts{f in FUEL, r in REGION1, rr in REGION2}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Costs for trading a fuel from one region to another., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Unit: M€/PJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,FR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,GR,HR,HU,IE,IT,LT,LU,LV,NONEU_Balkan,NL,PL,PT,RO,SE,SI,SK,UK,TR,NO1,NO2,NO3,NO4,NO5
Biomass,GR,"0,5059168163052217","0,4638357605072654",0,"0,4333446176098589",0,"0,4699041749183115","0,4835518170888441",0,0,0,0,0,"0,4502103258070088","0,4538515431411297",0,"0,4563211752394413",0,0,0,"0,4361362219835943",0,"0,4759679950446656",0,"0,4465803749047151",0,"0,4573396248005777","0,4605793054785901",0,"0,4505432557366738",0,0,0,0,0
Biomass,HR,"0,4800346853584856","0,4282901182955446","0,4591445344905422","0,4457732419021503","0,4420254746398253","0,4364464458517272","0,448103872714865","0,4682478502990293",0,"0,4860827221501796",0,"0,4502103258070089",0,"0,4282577781721417",0,"0,4322661325167919","0,466936206121048","0,4534552740918282",0,"0,4285755503700774","0,4614009993893673","0,4484734845627275",0,"0,4426133029527316","0,4964919046519087","0,4216299718395247","0,4340359528577073",0,0,0,0,0,0,0
Biomass,HU,"0,4908510963897368","0,4311282040841647","0,4620926574438634","0,4423676125573427","0,4498318164283349","0,4317628584323951","0,4473088555025197","0,4631682479374118",0,0,0,"0,4538515431411297","0,4282577781721418",0,0,"0,4458601479078615","0,4544156493151933","0,4570693049724392","0,461917440548859","0,4346969743842108","0,4620243710954775","0,4374056272475248",0,"0,4332783219796532","0,4870071779721779","0,4298562509810574","0,4216183597786916",0,0,0,0,0,0,0
Biomass,IE,"0,4678432010534297",0,"0,4528749943472783",0,0,0,"0,4679099125328534","0,4648918620788269",0,"0,4759416723733897",0,0,0,0,0,0,0,"0,458400831337429",0,0,"0,4532126738062671",0,0,0,0,0,0,"0,4296020704656489",0,"0,4734306110217718","0,4627969214519259","0,477418244610464","0,5084885563223575","0,466743017190736"
Biomass,IT,"0,465315827225103","0,4376537529818981","0,4576970830543114","0,459162774658718","0,4369191431666222","0,448234797943291","0,4532910970293308","0,4756551900230715",0,"0,4701914029668683",0,"0,4563211752394413","0,4322661325167919","0,4458601479078615",0,0,0,"0,4520003495784345",0,"0,4388571505630284","0,4627159223940191","0,4632813743248543",0,"0,4594583484918114","0,5077612280185476","0,4323474144549901","0,450796932425735","0,4840160199622998",0,0,0,0,0,0
Biomass,LT,0,"0,4599655974896125",0,0,0,"0,4498329655812184","0,45666308795514","0,4507514572401352","0,4304583853579297",0,"0,4571191646694301",0,"0,466936206121048","0,4544156493151933",0,0,0,0,"0,4219904583201267",0,"0,4663981793690407","0,4337834689407411",0,"0,4584892146627169","0,4528374277315381","0,4646265345257135","0,4475962653264623",0,0,"0,4545308893253661","0,4578539173159429","0,4615092481055774","0,4784151530076372","0,4615507859554596"
Biomass,LU,"0,4596420697405749","0,4410858875512073","0,4203204289906037",0,"0,4297337680100409","0,4421209251848542","0,4285804079283912","0,445135383783089",0,"0,4687933111156364",0,0,"0,4534552740918282","0,4570693049724392","0,458400831337429","0,4520003495784346",0,0,0,0,"0,426099763936751","0,4547574391410449",0,0,"0,4803793976097582","0,4463781905101932","0,455244019118041","0,4471324039022908",0,"0,4663276386919138","0,4568154710688876","0,4754659656660001","0,5079485642738888","0,464790738246272"
Biomass,LV,0,"0,4670032085652894",0,0,0,"0,4566925094221367","0,462032548712406","0,4527715937680151","0,4230307378249932",0,"0,4498854373233411",0,0,"0,461917440548859",0,0,"0,4219904583201267",0,0,0,"0,470367186379001","0,4409148808057009",0,"0,4653931745670428","0,4478022581048686",0,"0,4550847479017982",0,0,"0,4542401243761906","0,4588923635629981","0,4592662042119381","0,4719352484260123","0,4615507859554596"
Biomass,NL,"0,4678920073855885","0,4478947417872239","0,422471913620508",0,"0,4409707360153264","0,4451726663555833","0,4292820346921183","0,4354188448106479",0,"0,4773426005576684",0,0,"0,4614009993893673","0,4620243710954775","0,4532126738062671","0,4627159223940191","0,4663981793690407","0,426099763936751","0,470367186379001",0,0,"0,4536651253963502",0,0,"0,4703047857190636","0,454284699101262","0,4585494847638404","0,4395785546018057",0,"0,4549047299743059","0,4461402436491596","0,4644168975973322","0,4971902611543962","0,4534093673785463"
Biomass,NONEU_Balkan,"0,4896342714516722","0,4422060875258684",0,"0,434821581897585","0,4551208205036519","0,4489388940521985","0,4619699224084151",0,0,0,0,"0,4361362219835943","0,4285755503700774","0,4346969743842108",0,"0,4388571505630284",0,0,0,0,0,"0,4576100027841674",0,"0,4381263424923692",0,"0,4357148940194482","0,4418268421295447",0,0,0,0,0,0,0
