Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
SK,RES_Hydro_Large,2018,0.034885384,,Fraction,,,
TR,RES_Hydro_Large,2018,0.266833885,,Fraction,,,
UK,RES_Hydro_Large,2018,0.0,,Fraction,,,
PT,RES_Hydro_Small,2018,0.88,,Fraction,,,
World,A_Rooftop,2020,1.0,,Fraction,,,
World,CHP_Biomass,2020,0.84,,Fraction,,,
World,CHP_Coal_Hardcoal,2020,0.844,,Fraction,,,
World,CHP_Coal_Lignite,2020,0.844,,Fraction,,,
World,CHP_Gas,2020,0.87,,Fraction,,,
World,CHP_Nuclear,2020,0.837,,Fraction,,,
World,CHP_Nuclear,2020,0.8,,Fraction,,,
World,CHP_Nuclear,2020,0.8,,Fraction,,,
World,D_Battery_Li-Ion,2020,1.0,,Fraction,,,
World,D_Battery_Redox,2020,1.0,,Fraction,,,
World,D_Gas_H2,2020,1.0,,Fraction,,,
World,D_Gas_Methane,2020,1.0,,Fraction,,,
World,D_Heat_HLI,2020,1.0,,Fraction,,,
World,D_Heat_HLR,2020,1.0,,Fraction,,,
World,D_PHS,2020,1.0,,Fraction,,,
World,D_PHS_Residual,2020,1.0,,Fraction,,,
World,D_CAES,2020,1.0,,Fraction,,,
World,FRT_Rail_Conv,2020,0.95,,Fraction,,,
World,FRT_Rail_Electric,2020,0.95,,Fraction,,,
World,FRT_Road_OH,2020,0.0,,Fraction,,,
World,FRT_Road_BEV,2020,0.917340036,,Fraction,,,
World,FRT_Road_H2,2020,0.0,,Fraction,,,
World,FRT_Road_ICE,2020,0.95,,Fraction,,,
World,FRT_Road_PHEV,2020,0.95,,Fraction,,,
World,FRT_Road_ICE_Bio,2020,0.95,,Fraction,,,
World,FRT_Road_PHEV_Bio,2020,0.95,,Fraction,,,
World,FRT_Ship_Bio,2020,0.95,,Fraction,,,
World,FRT_Ship_Conv,2020,0.95,,Fraction,,,
World,HHT_Biomass,2020,0.84,,Fraction,,,
World,HHT_Coal_Hardcoal,2020,0.844,,Fraction,,,
World,HHT_Coal_Lignite,2020,0.844,,Fraction,,,
World,HHT_Electric_Furnace,2020,0.95,,Fraction,,,
World,HHT_Gas,2020,0.87,,Fraction,,,
World,HHT_Geothermal,2020,0.92,,Fraction,,,
World,HHT_Oil,2020,0.84,,Fraction,,,
World,HHT_H2,2020,0.982,,Fraction,,,
World,HLT_Biomass,2020,0.84,,Fraction,,,
World,HLT_Coal_Hardcoal,2020,0.844,,Fraction,,,
World,HLT_Coal_Lignite,2020,0.844,,Fraction,,,
World,HLT_Electric_Furnace,2020,0.95,,Fraction,,,
World,HLT_Gas,2020,0.87,,Fraction,,,
World,HLT_Geothermal,2020,0.92,,Fraction,,,
World,HLT_Heatpump,2020,0.95,,Fraction,,,
World,HLT_Oil,2020,0.84,,Fraction,,,
World,HLT_Rooftop_Commercial,2020,0.98,,Fraction,,,
World,HLT_Rooftop_Residential,2020,0.98,,Fraction,,,
World,P_Biomass,2020,0.84,,Fraction,,,
World,P_Coal_Hardcoal,2020,0.844,,Fraction,,,
World,P_Coal_Lignite,2020,0.844,,Fraction,,,
World,P_Gas,2020,0.881428571,,Fraction,,,
World,P_Nuclear,2020,0.837,,Fraction,,,
World,P_Oil,2020,0.84,,Fraction,,,
World,PSNG_Air_Bio,2020,0.95,,Fraction,,,
World,PSNG_Air_Conv,2020,0.95,,Fraction,,,
World,PSNG_Air_H2,2020,0.95,,Fraction,,,
World,PSNG_Rail_Conv,2020,0.95,,Fraction,,,
World,PSNG_Rail_Electric,2020,0.95,,Fraction,,,
World,PSNG_Road_BEV,2020,0.917340036,,Fraction,,,
World,PSNG_Road_H2,2020,0.0,,Fraction,,,
World,PSNG_Road_ICE,2020,0.95,,Fraction,,,
World,PSNG_Road_PHEV,2020,0.95,,Fraction,,,
World,PSNG_Road_ICE_Bio,2020,0.95,,Fraction,,,
World,PSNG_Road_PHEV_Bio,2020,0.95,,Fraction,,,
World,R_Coal_Hardcoal,2020,1.0,,Fraction,,,
World,R_Coal_Lignite,2020,1.0,,Fraction,,,
World,R_Gas,2020,1.0,,Fraction,,,
World,R_Nuclear,2020,1.0,,Fraction,,,
World,R_Oil,2020,1.0,,Fraction,,,
World,RES_Biomass,2020,1.0,,Fraction,,,
World,RES_CSP,2020,0.98,,Fraction,,,
World,RES_CSP_Storage,2020,0.98,,Fraction,,,
World,RES_Geothermal,2020,0.92,,Fraction,,,
World,RES_Hydro_Large,2020,0.33,,Fraction,,,
World,RES_Hydro_Small,2020,0.9,,Fraction,,,
World,RES_Ocean,2020,0.45,,Fraction,,,
World,RES_PV_Rooftop_Commercial,2020,0.98,,Fraction,,,
World,RES_PV_Rooftop_Residential,2020,0.98,,Fraction,,,
World,RES_PV_Utility_Avg,2020,0.98,,Fraction,,,
World,RES_PV_Utility_Inf,2020,0.98,,Fraction,,,
World,RES_PV_Utility_Opt,2020,0.98,,Fraction,,,
World,RES_Wind_Offshore_Transitional,2020,0.98,,Fraction,,,
World,RES_Wind_Offshore_Shallow,2020,0.98,,Fraction,,,
World,RES_Wind_Offshore_Deep,2020,0.98,,Fraction,,,
World,RES_Wind_Onshore_Avg,2020,0.98,,Fraction,,,
World,RES_Wind_Onshore_Inf,2020,0.98,,Fraction,,,
World,RES_Wind_Onshore_Opt,2020,0.98,,Fraction,,,
World,X_Electrolysis,2020,0.982,,Fraction,,,
World,X_Fuel_Cell,2020,0.982,,Fraction,,,
World,X_Methanation,2020,0.982,,Fraction,,,
World,A_CCS_Capacity,2020,1.0,,Fraction,,,
World,CHP_Biomass_CCS,2020,0.84,,Fraction,,,
World,P_Biomass_CCS,2020,0.84,,Fraction,,,
World,HLR_Gas_Boiler,2020,0.98,,Fraction,,,
World,HLR_Gas_CHP,2020,0.98,,Fraction,,,
World,HLR_Biomass,2020,0.98,,Fraction,,,
World,HLR_Biomass_CHP,2020,0.98,,Fraction,,,
World,HLR_Hardcoal,2020,0.98,,Fraction,,,
World,HLR_Lignite,2020,0.98,,Fraction,,,
World,HLR_Hardcoal_CHP,2020,0.98,,Fraction,,,
World,HLR_Lignite_CHP,2020,0.98,,Fraction,,,
World,HLR_Direct_Electric,2020,0.98,,Fraction,,,
World,HLR_Solar_Thermal,2020,0.98,,Fraction,,,
World,HLR_Heatpump_Aerial,2020,0.98,,Fraction,,,
