Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AL,RES_Wood,2020,0,,PJ,,,
AT,RES_Wood,2020,5.08193784,,PJ,,,
BA,RES_Wood,2020,0,,PJ,,,
BE,RES_Wood,2020,2.9014524,,PJ,,,
BG,RES_Wood,2020,3.29836104,,PJ,,,
CH,RES_Wood,2020,5.08193784,,PJ,,,
CZ,RES_Wood,2020,4.5468648,,PJ,,,
DE,RES_Wood,2020,24.3294948,,PJ,,,
DK,RES_Wood,2020,2.637684,,PJ,,,
ES,RES_Wood,2020,15.2483256,,PJ,,,
FI,RES_Wood,2020,10.93257216,,PJ,,,
FR,RES_Wood,2020,24.85451952,,PJ,,,
GR,RES_Wood,2020,2.81729772,,PJ,,,
HR,RES_Wood,2020,2.004545455,,PJ,,,
HU,RES_Wood,2020,5.58435384,,PJ,,,
IE,RES_Wood,2020,1.0613538,,PJ,,,
IT,RES_Wood,2020,11.65856328,,PJ,,,
LU,RES_Wood,2020,0.0690822,,PJ,,,
ME,RES_Wood,2020,0,,PJ,,,
MK,RES_Wood,2020,0,,PJ,,,
NL,RES_Wood,2020,2.041065,,PJ,,,
NO,RES_Wood,2020,12.22522418,,PJ,,,
PL,RES_Wood,2020,13.85286516,,PJ,,,
PT,RES_Wood,2020,4.0884102,,PJ,,,
RO,RES_Wood,2020,7.56387288,,PJ,,,
RS,RES_Wood,2020,0,,PJ,,,
SE,RES_Wood,2020,12.14339472,,PJ,,,
SI,RES_Wood,2020,0.69459012,,PJ,,,
SK,RES_Wood,2020,2.45430216,,PJ,,,
UA,RES_Wood,2020,0,,PJ,,,
UK,RES_Wood,2020,13.40697096,,PJ,,,
EE,RES_Wood,2020,1.29623328,,PJ,,,
LT,RES_Wood,2020,1.45575036,,PJ,,,
LV,RES_Wood,2020,1.46203056,,PJ,,,
RU,RES_Wood,2020,0,,PJ,,,
BY,RES_Wood,2020,0,,PJ,,,
TR,RES_Wood,2020,11.37472996,,PJ,,,
NONEU_Balkan,RES_Wood,2020,1.507682635,,PJ,,,
AL,RES_Roundwood,2020,0,,PJ,,,
AT,RES_Roundwood,2020,47.43141984,,PJ,,,
BA,RES_Roundwood,2020,0,,PJ,,,
BE,RES_Roundwood,2020,27.0802224,,PJ,,,
BG,RES_Roundwood,2020,30.78470304,,PJ,,,
CH,RES_Roundwood,2020,47.43141984,,PJ,,,
CZ,RES_Roundwood,2020,42.4374048,,PJ,,,
DE,RES_Roundwood,2020,227.0752848,,PJ,,,
DK,RES_Roundwood,2020,24.618384,,PJ,,,
ES,RES_Roundwood,2020,142.3177056,,PJ,,,
FI,RES_Roundwood,2020,102.0373402,,PJ,,,
FR,RES_Roundwood,2020,231.9755155,,PJ,,,
GR,RES_Roundwood,2020,26.29477872,,PJ,,,
HR,RES_Roundwood,2020,18.70909091,,PJ,,,
HU,RES_Roundwood,2020,52.12063584,,PJ,,,
IE,RES_Roundwood,2020,9.9059688,,PJ,,,
IT,RES_Roundwood,2020,108.8132573,,PJ,,,
LU,RES_Roundwood,2020,0.6447672,,PJ,,,
ME,RES_Roundwood,2020,0,,PJ,,,
MK,RES_Roundwood,2020,0,,PJ,,,
NL,RES_Roundwood,2020,19.04994,,PJ,,,
NO,RES_Roundwood,2020,114.1020923,,PJ,,,
PL,RES_Roundwood,2020,129.2934082,,PJ,,,
PT,RES_Roundwood,2020,38.1584952,,PJ,,,
RO,RES_Roundwood,2020,70.59614688,,PJ,,,
RS,RES_Roundwood,2020,0,,PJ,,,
SE,RES_Roundwood,2020,113.3383507,,PJ,,,
SI,RES_Roundwood,2020,6.48284112,,PJ,,,
SK,RES_Roundwood,2020,22.90682016,,PJ,,,
UA,RES_Roundwood,2020,0,,PJ,,,
UK,RES_Roundwood,2020,125.131729,,PJ,,,
EE,RES_Roundwood,2020,12.09817728,,PJ,,,
LT,RES_Roundwood,2020,13.58700336,,PJ,,,
LV,RES_Roundwood,2020,13.64561856,,PJ,,,
RU,RES_Roundwood,2020,0,,PJ,,,
BY,RES_Roundwood,2020,0,,PJ,,,
TR,RES_Roundwood,2020,106.1641463,,PJ,,,
NONEU_Balkan,RES_Roundwood,2020,14.07170459,,PJ,,,
AL,RES_Residues,2020,0,,PJ,,,
AT,RES_Residues,2020,94.86283968,,PJ,,,
BA,RES_Residues,2020,0,,PJ,,,
BE,RES_Residues,2020,54.1604448,,PJ,,,
BG,RES_Residues,2020,61.56940608,,PJ,,,
CH,RES_Residues,2020,94.86283968,,PJ,,,
CZ,RES_Residues,2020,84.8748096,,PJ,,,
DE,RES_Residues,2020,454.1505696,,PJ,,,
DK,RES_Residues,2020,49.236768,,PJ,,,
ES,RES_Residues,2020,284.6354112,,PJ,,,
FI,RES_Residues,2020,204.0746803,,PJ,,,
FR,RES_Residues,2020,463.951031,,PJ,,,
GR,RES_Residues,2020,52.58955744,,PJ,,,
HR,RES_Residues,2020,37.41818182,,PJ,,,
HU,RES_Residues,2020,104.2412717,,PJ,,,
IE,RES_Residues,2020,19.8119376,,PJ,,,
IT,RES_Residues,2020,217.6265146,,PJ,,,
LU,RES_Residues,2020,1.2895344,,PJ,,,
ME,RES_Residues,2020,0,,PJ,,,
MK,RES_Residues,2020,0,,PJ,,,
NL,RES_Residues,2020,38.09988,,PJ,,,
NO,RES_Residues,2020,228.2041847,,PJ,,,
PL,RES_Residues,2020,258.5868163,,PJ,,,
PT,RES_Residues,2020,76.3169904,,PJ,,,
RO,RES_Residues,2020,141.1922938,,PJ,,,
RS,RES_Residues,2020,0,,PJ,,,
SE,RES_Residues,2020,226.6767014,,PJ,,,
SI,RES_Residues,2020,12.96568224,,PJ,,,
SK,RES_Residues,2020,45.81364032,,PJ,,,
UA,RES_Residues,2020,0,,PJ,,,
UK,RES_Residues,2020,250.2634579,,PJ,,,
EE,RES_Residues,2020,24.19635456,,PJ,,,
LT,RES_Residues,2020,27.17400672,,PJ,,,
LV,RES_Residues,2020,27.29123712,,PJ,,,
RU,RES_Residues,2020,0,,PJ,,,
BY,RES_Residues,2020,0,,PJ,,,
TR,RES_Residues,2020,212.3282926,,PJ,,,
NONEU_Balkan,RES_Residues,2020,28.14340918,,PJ,,,
AL,RES_Paper_Cardboard,2020,0,,PJ,,,
AT,RES_Paper_Cardboard,2020,6.77591712,,PJ,,,
BA,RES_Paper_Cardboard,2020,0,,PJ,,,
BE,RES_Paper_Cardboard,2020,3.8686032,,PJ,,,
BG,RES_Paper_Cardboard,2020,4.39781472,,PJ,,,
CH,RES_Paper_Cardboard,2020,6.77591712,,PJ,,,
CZ,RES_Paper_Cardboard,2020,6.0624864,,PJ,,,
DE,RES_Paper_Cardboard,2020,32.4393264,,PJ,,,
DK,RES_Paper_Cardboard,2020,3.516912,,PJ,,,
ES,RES_Paper_Cardboard,2020,20.3311008,,PJ,,,
FI,RES_Paper_Cardboard,2020,14.57676288,,PJ,,,
FR,RES_Paper_Cardboard,2020,33.13935936,,PJ,,,
GR,RES_Paper_Cardboard,2020,3.75639696,,PJ,,,
HR,RES_Paper_Cardboard,2020,2.672727273,,PJ,,,
HU,RES_Paper_Cardboard,2020,7.44580512,,PJ,,,
IE,RES_Paper_Cardboard,2020,1.4151384,,PJ,,,
IT,RES_Paper_Cardboard,2020,15.54475104,,PJ,,,
LU,RES_Paper_Cardboard,2020,0.0921096,,PJ,,,
ME,RES_Paper_Cardboard,2020,0,,PJ,,,
MK,RES_Paper_Cardboard,2020,0,,PJ,,,
NL,RES_Paper_Cardboard,2020,2.72142,,PJ,,,
NO,RES_Paper_Cardboard,2020,16.3002989,,PJ,,,
PL,RES_Paper_Cardboard,2020,18.47048688,,PJ,,,
