Region,Technology,Year,Value,,Source,Updated at,Updated by
GR,RES_PV_Utility_Avg,2018,3.12,,,,
GR,RES_Wind_Offshore_Transitional,2018,0,,,,
GR,RES_Wind_Onshore_Avg,2018,2.844,,,,
GR,X_Gasifier,2018,5,,,,
HR,CHP_Biomass_Solid,2018,0.133671618,,,,
HR,CHP_Coal_Hardcoal,2018,0.013511293,,,,
HR,CHP_Gas_CCGT_Natural,2018,0.644998616,,,,
HR,CHP_Oil,2018,0.068313677,,,,
HR,D_PHS,2018,0.3,,,,
HR,HHI_BF_BOF,2018,0.0375,,,,
HR,HHI_DRI_EAF,2018,0.0613,,,,
HR,HHI_Scrap_EAF,2018,0.0015,,,,
HR,HLI_Biomass,2018,0.0119,,,,
HR,HLI_Direct_Electric,2018,0.0076,,,,
HR,HLI_Gas_Boiler,2018,0.7216,,,,
HR,HLI_Hardcoal,2018,0.0018,,,,
HR,HLI_Lignite,2018,0.0062,,,,
HR,HLI_Oil_Boiler,2018,0.0968,,,,
HR,HLR_Biomass,2018,1.574,,,,
HR,HLR_Direct_Electric,2018,0.3356,,,,
HR,HLR_Gas_Boiler,2018,4.5113,,,,
HR,HLR_Hardcoal,2018,0.0042,,,,
HR,HLR_Oil_Boiler,2018,0.1605,,,,
HR,HMI_Biomass,2018,0.0416,,,,
HR,HMI_Gas,2018,4.2597,,,,
HR,HMI_HardCoal,2018,0.0248,,,,
HR,HMI_Oil,2018,0.084,,,,
HR,HMI_Steam_Electric,2018,0.0055,,,,
HR,P_Biomass,2018,0.3,,,,
HR,P_Coal_Hardcoal,2018,0.3,,,,
HR,P_Coal_Lignite,2018,0,,,,
HR,P_Gas,2018,0.7,,,,
HR,P_Gas_CCGT,2018,0.589,,,,
HR,P_Gas_OCGT,2018,0.104,,,,
HR,P_Nuclear,2018,0,,,,
HR,P_Oil,2018,1,,,,
HR,RES_Hydro_Large,2018,0.3,,,,
HR,RES_Hydro_Small,2018,1.9,,,,
HR,RES_PV_Utility_Avg,2018,0,,,,
HR,RES_Wind_Offshore_Transitional,2018,0,,,,
HR,RES_Wind_Onshore_Avg,2018,0.583,,,,
HR,X_Gasifier,2018,0,,,,
HU,CHP_Biomass_Solid,2018,0.216073042,,,,
HU,CHP_Coal_Hardcoal,2018,0.126135802,,,,
HU,CHP_Gas_CCGT_Natural,2018,1.044490377,,,,
HU,CHP_Oil,2018,0.000264868,,,,
HU,D_PHS,2018,0,,,,
HU,HHI_BF_BOF,2018,2.0387,,,,
HU,HHI_DRI_EAF,2018,0.2097,,,,
HU,HHI_Scrap_EAF,2018,0.0179,,,,
HU,HLI_Biomass,2018,0.0649,,,,
HU,HLI_Direct_Electric,2018,0.0118,,,,
HU,HLI_Gas_Boiler,2018,2.3361,,,,
HU,HLI_Hardcoal,2018,0.0047,,,,
HU,HLI_Lignite,2018,0.0003,,,,
HU,HLI_Oil_Boiler,2018,0.1085,,,,
HU,HLR_Biomass,2018,2.4415,,,,
HU,HLR_Direct_Electric,2018,0.6051,,,,
HU,HLR_Gas_Boiler,2018,22.1852,,,,
HU,HLR_Hardcoal,2018,0.1297,,,,
HU,HLR_Oil_Boiler,2018,0.1517,,,,
HU,HMI_Biomass,2018,0.0896,,,,
HU,HMI_Gas,2018,12.2255,,,,
HU,HMI_HardCoal,2018,0.0016,,,,
HU,HMI_Oil,2018,1.9903,,,,
HU,HMI_Steam_Electric,2018,0.011,,,,
HU,P_Biomass,2018,0.42,,,,
HU,P_Coal_Hardcoal,2018,0.36,,,,
HU,P_Coal_Lignite,2018,0.849,,,,
HU,P_Gas,2018,3.67,,,,
HU,P_Gas_CCGT,2018,2.244,,,,
HU,P_Gas_Engines,2018,0.732,,,,
HU,P_Gas_OCGT,2018,0.719,,,,
HU,P_Nuclear,2018,1.888,,,,
HU,P_Oil,2018,0.407,,,,
HU,RES_Hydro_Large,2018,0,,,,
HU,RES_Hydro_Small,2018,0.05,,,,
HU,RES_PV_Utility_Avg,2018,0.797,,,,
HU,RES_Wind_Offshore_Transitional,2018,0,,,,
HU,RES_Wind_Onshore_Avg,2018,0.33,,,,
IE,CHP_Biomass_Solid,2018,0.01027456,,,,
IE,CHP_Coal_Hardcoal,2018,0.007950552,,,,
IE,CHP_Gas_CCGT_Natural,2018,0.699334897,,,,
IE,D_PHS,2018,0.292,,,,
IE,HHI_BF_BOF,2018,1.1329,,,,
IE,HHI_DRI_EAF,2018,0.062,,,,
IE,HHI_Scrap_EAF,2018,1.3653,,,,
