Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
6790,1,1,1,1,1,0.678223274,0.900053135,0.870737908,1,0.63961407,0.84515039,1,0.960289224,0.733869663,0.903128112,1,1,1,1,0.901521154,0.960289224,1,1,0.960289224,0.733869663,0.870737908,0.870737908,0.870737908,1,0.84515039
6791,1,1,1,1,1,0.678128538,0.899948721,0.870531208,1,0.639408203,0.844967464,1,0.959685483,0.733718794,0.902977566,1,1,1,1,0.901514882,0.959685483,1,1,0.959685483,0.733718794,0.870531208,0.870531208,0.870531208,1,0.844967464
6792,1,1,1,1,1,0.678033041,0.899861578,0.870331283,1,0.639152606,0.844772912,1,0.95910885,0.733608272,0.902819886,1,1,1,1,0.901513981,0.95910885,1,1,0.95910885,0.733608272,0.870331283,0.870331283,0.870331283,1,0.844772912
6793,1,1,1,1,1,0.677728052,0.899819459,0.869920516,1,0.639327353,0.844554526,1,0.958745383,0.733542687,0.902337421,1,1,1,1,0.901344625,0.958745383,1,1,0.958745383,0.733542687,0.869920516,0.869920516,0.869920516,1,0.844554526
6794,1,1,1,1,1,0.677456988,0.899579722,0.869888925,1,0.639256319,0.844473359,1,0.958244234,0.733349165,0.902371873,1,1,1,1,0.901296679,0.958244234,1,1,0.958244234,0.733349165,0.869888925,0.869888925,0.869888925,1,0.844473359
6795,1,1,1,1,1,0.677154465,0.899376352,0.869841962,1,0.639205806,0.84440338,1,0.957678709,0.733393561,0.902374429,1,1,1,1,0.901261265,0.957678709,1,1,0.957678709,0.733393561,0.869841962,0.869841962,0.869841962,1,0.84440338
6796,1,1,1,1,1,0.676831673,0.899177428,0.869789909,1,0.639158953,0.844367625,1,0.957147944,0.733309838,0.902365322,1,1,1,1,0.901218896,0.957147944,1,1,0.957147944,0.733309838,0.869789909,0.869789909,0.869789909,1,0.844367625
6797,1,1,1,1,1,0.676512102,0.898954257,0.869696379,1,0.639114006,0.844329778,1,0.956625161,0.733217447,0.90234266,1,1,1,1,0.901097202,0.956625161,1,1,0.956625161,0.733217447,0.869696379,0.869696379,0.869696379,1,0.844329778
6798,1,1,1,1,1,0.676199801,0.898743852,0.86957806,1,0.639075115,0.84428251,1,0.955975169,0.733107445,0.902684537,1,1,1,1,0.900949705,0.955975169,1,1,0.955975169,0.733107445,0.86957806,0.86957806,0.86957806,1,0.84428251
6799,1,1,1,1,1,0.67589271,0.898575058,0.869469583,1,0.639037229,0.844185517,1,0.955349524,0.732973668,0.902452044,1,1,1,1,0.900814773,0.955349524,1,1,0.955349524,0.732973668,0.869469583,0.869469583,0.869469583,1,0.844185517
6800,1,1,1,1,1,0.675594447,0.898429646,0.869397959,1,0.638989251,0.844149954,1,0.954820889,0.732800102,0.902225051,1,1,1,1,0.900692591,0.954820889,1,1,0.954820889,0.732800102,0.869397959,0.869397959,0.869397959,1,0.844149954
6801,1,1,1,1,1,0.67529974,0.898266107,0.869342073,1,0.638935232,0.844189414,1,0.954327177,0.73256315,0.90200893,1,1,1,1,0.900587918,0.954327177,1,1,0.954327177,0.73256315,0.869342073,0.869342073,0.869342073,1,0.844189414
6802,1,1,1,1,1,0.675003366,0.89809295,0.86928379,1,0.638875177,0.844264478,1,0.953807469,0.732282991,0.901806452,1,1,1,1,0.900506299,0.953807469,1,1,0.953807469,0.732282991,0.86928379,0.86928379,0.86928379,1,0.844264478
6803,1,1,1,1,1,0.674693487,0.897931902,0.869212565,1,0.638808639,0.844316342,1,0.952912238,0.73200849,0.901616403,1,1,1,1,0.900443356,0.952912238,1,1,0.952912238,0.73200849,0.869212565,0.869212565,0.869212565,1,0.844316342
6804,1,1,1,1,1,0.674372034,0.897786106,0.869084392,1,0.63873732,0.844277801,1,0.9522478,0.731773919,0.901434194,1,1,1,1,0.900383794,0.9522478,1,1,0.9522478,0.731773919,0.869084392,0.869084392,0.869084392,1,0.844277801
6805,1,1,1,1,1,0.674047328,0.897663046,0.868989349,1,0.638661872,0.844219895,1,0.951903254,0.731545017,0.901238933,1,1,1,1,0.900319676,0.951903254,1,1,0.951903254,0.731545017,0.868989349,0.868989349,0.868989349,1,0.844219895
6806,1,1,1,1,1,0.674072288,0.897593274,0.868888043,1,0.638593731,0.84419253,1,0.951743769,0.731296322,0.901017917,1,1,1,1,0.900253384,0.951743769,1,1,0.951743769,0.731296322,0.868888043,0.868888043,0.868888043,1,0.84419253
6807,1,1,1,1,1,0.674000028,0.89753515,0.868743519,1,0.63853349,0.844201109,1,0.951192535,0.731010835,0.900754696,1,1,1,1,0.900178571,0.951192535,1,1,0.951192535,0.731010835,0.868743519,0.868743519,0.868743519,1,0.844201109
6808,1,1,1,1,1,0.673930229,0.8974865,0.868568567,1,0.638465526,0.84424232,1,0.950620255,0.730775545,0.900485275,1,1,1,1,0.90008453,0.950620255,1,1,0.950620255,0.730775545,0.868568567,0.868568567,0.868568567,1,0.84424232
6809,1,1,1,1,1,0.673865448,0.897439631,0.86841741,1,0.638526122,0.844283361,1,0.950071757,0.730552778,0.900229308,1,1,1,1,0.899920113,0.950071757,1,1,0.950071757,0.730552778,0.86841741,0.86841741,0.86841741,1,0.844283361
6810,1,1,1,1,1,0.673806793,0.897380146,0.868304331,1,0.638401427,0.844589786,1,0.949664415,0.730344148,0.900011168,1,1,1,1,0.899799959,0.949664415,1,1,0.949664415,0.730344148,0.868304331,0.868304331,0.868304331,1,0.844589786
6811,1,1,1,1,1,0.673745259,0.897298789,0.868223393,1,0.638288651,0.844429171,1,0.949137421,0.730134852,0.899851216,1,1,1,1,0.899864375,0.949137421,1,1,0.949137421,0.730134852,0.868223393,0.868223393,0.868223393,1,0.844429171
6812,1,1,1,1,1,0.673680846,0.897204241,0.868150497,1,0.638176613,0.844272106,1,0.948780906,0.729946842,0.899734525,1,1,1,1,0.900074364,0.948780906,1,1,0.948780906,0.729946842,0.868150497,0.868150497,0.868150497,1,0.844272106
6813,1,1,1,1,1,0.673615447,0.897129221,0.868063131,1,0.638071368,0.844119113,1,0.94835375,0.729791298,0.899644021,1,1,1,1,0.900301914,0.94835375,1,1,0.94835375,0.729791298,0.868063131,0.868063131,0.868063131,1,0.844119113
6814,1,1,1,1,1,0.673544506,0.897061503,0.868208717,1,0.63793599,0.843972453,1,0.947912238,0.729647518,0.899546997,1,1,1,1,0.900482129,0.947912238,1,1,0.947912238,0.729647518,0.868208717,0.868208717,0.868208717,1,0.843972453
6815,1,1,1,1,1,0.673462809,0.896968582,0.867999668,1,0.637792901,0.843828459,1,0.947669426,0.729501027,0.899414937,1,1,1,1,0.90053334,0.947669426,1,1,0.947669426,0.729501027,0.867999668,0.867999668,0.867999668,1,0.843828459
6816,1,1,1,1,1,0.673363258,0.896871938,0.867804364,1,0.637610109,0.84367737,1,0.947626989,0.729344696,0.899267669,1,1,1,1,0.900545438,0.947626989,1,1,0.947626989,0.729344696,0.867804364,0.867804364,0.867804364,1,0.84367737
6817,1,1,1,1,1,0.673042862,0.896692128,0.867458806,1,0.63780821,0.84350693,1,0.947487421,0.729299047,0.898799984,1,1,1,1,0.900231199,0.947487421,1,1,0.947487421,0.729299047,0.867458806,0.867458806,0.867458806,1,0.84350693
6818,1,1,1,1,1,0.672819563,0.896361454,0.8674582,1,0.637786241,0.843441833,1,0.946807799,0.729172525,0.898849121,1,1,1,1,0.899836716,0.946807799,1,1,0.946807799,0.729172525,0.8674582,0.8674582,0.8674582,1,0.843441833
6819,1,1,1,1,1,0.672591983,0.896053041,0.86746404,1,0.637773136,0.843412447,1,0.946078306,0.729181017,0.898879272,1,1,1,1,0.899496753,0.946078306,1,1,0.946078306,0.729181017,0.86746404,0.86746404,0.86746404,1,0.843412447
6820,1,1,1,1,1,0.672379776,0.895746313,0.867467486,1,0.637756895,0.843429042,1,0.945315585,0.729028769,0.898883807,1,1,1,1,0.89925504,0.945315585,1,1,0.945315585,0.729028769,0.867467486,0.867467486,0.867467486,1,0.843429042
6821,1,1,1,1,1,0.672152839,0.89543155,0.86737827,1,0.637746231,0.843427872,1,0.944553875,0.72886631,0.89885946,1,1,1,1,0.899029881,0.944553875,1,1,0.944553875,0.72886631,0.86737827,0.86737827,0.86737827,1,0.843427872
