Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.08.27); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
41,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,2.0816326530000002,1.993171006,0.650531717,0.060214613,1.993065775,1.126515438,1.696855426,0.041586502,1.32878067,1.626294834,0.889398832,0.054552675
42,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.714285714,1.381931897,0.260212687,0.040143075,1.624781882,0.866550337,1.27264157,0.020793251,1.461658737,1.843134145,0.933868774,0.054552675
43,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,0.979591837,1.063024536,0.173475125,0.020071538,1.126515438,0.693240269,0.636320785,0.020793251,1.807141712,1.734714489,1.000573686,0.163658026
44,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.734693878,0.850419629,0.108421953,0.020071538,0.866550337,0.498266444,0.254528314,0.103966256,2.365229593,1.301035867,1.156218482,0.600079427
45,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.612244898,0.611239108,0.065053172,0.100357688,0.693240269,0.303292618,0.169685543,0.519831281,2.444956434,0.650517933,1.66762281,1.500198567
46,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.372058588,0.108421953,0.501788439,0.498266444,0.173310067,0.106053464,1.247595074,1.993171006,0.260207173,2.179027139,2.591252071
47,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.212604907,0.325265859,1.204292255,0.303292618,0.108318792,0.063632078,1.767426355,1.381931897,0.173471449,2.267967022,2.673081084
48,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.132878067,0.75895367,1.706080694,0.173310067,0.086655034,0.106053464,1.663460099,1.063024536,0.108419656,1.445273102,1.309264204
49,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.12244898,0.106302454,1.409485387,1.605723006,0.108318792,0.086655034,0.318160392,1.247595074,0.850419629,0.065051793,0.933868774,1.145606179
50,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.244897959,0.106302454,1.51790734,1.204292255,0.086655034,0.173310067,0.742374249,1.143628818,0.611239108,0.108419656,0.711519066,1.091053504
